ts,Humidity,TDS,Temperature
1.65094E+12,42,92,30.799999
1.65094E+12,14,76,42
1.65094E+12,38,975,31.299999
1.65094E+12,33,868,37.400002
1.65094E+12,33,1021,27.6
1.65094E+12,32,1031,28
1.65094E+12,39,95,28.9
1.65094E+12,21,771,46.200001
1.65094E+12,29,987,30.200001
1.65094E+12,33,1049,27.1
1.65094E+12,14,77,42
1.65094E+12,32,1000,28.9
1.65094E+12,32,35,28.9
1.65094E+12,32,95,28.5
1.65094E+12,25,87,33.299999
1.65094E+12,27,972,31.799999
1.65094E+12,32,95,28.5
1.65094E+12,39,0,28.5
1.65094E+12,32,1027,28
1.65094E+12,18,80,38.5
1.65094E+12,21,85,35.200001
1.65094E+12,40,95,28.9
1.65094E+12,39,95,28.9
1.65094E+12,27,955,32.299999
1.65094E+12,31,1002,29.299999
1.65094E+12,12,73,44.799999
1.65094E+12,33,1035,28
1.65094E+12,26,950,32.900002
1.65094E+12,18,79,38.5
1.65094E+12,28,853,38
1.65094E+12,39,94,28.9
1.65094E+12,33,93,27.6
1.65094E+12,33,93,27.6
1.65094E+12,34,893,36.599998
1.65094E+12,29,848,38.5
1.65094E+12,33,1055,27.1
1.65094E+12,23,85,34.700001
1.65094E+12,31,1003,28.9
1.65094E+12,14,77,41.599998
1.65094E+12,33,1048,27.1
1.65094E+12,21,85,35.200001
1.65094E+12,24,86,33.799999
1.65094E+12,33,1037,28
1.65094E+12,30,874,36.299999
1.65094E+12,24,782,45.299999
1.65095E+12,33,1049,27.1
1.65094E+12,18,80,38.5
1.65094E+12,31,927,34.700001
1.65094E+12,33,1055,27.1
1.65094E+12,36,893,34.700001
1.65094E+12,33,93,27.6
1.65094E+12,28,982,30.799999
1.65094E+12,40,95,28.9
1.65094E+12,32,882,36.900002
1.65094E+12,30,876,35.599998
1.65094E+12,16,79,39.5
1.65094E+12,27,958,32.299999
1.65094E+12,30,987,29.799999
1.65094E+12,32,1031,28
1.65094E+12,28,857,38
1.65094E+12,15,79,40.099998
1.65094E+12,30,999,29.799999
1.65094E+12,30,900,36.299999
1.65094E+12,31,919,34.200001
1.65094E+12,32,1035,28
1.65094E+12,31,917,34.700001
1.65094E+12,25,16,33.299999
1.65094E+12,30,866,36.900002
1.65094E+12,33,1047,27.1
1.65094E+12,20,84,35.599998
1.65094E+12,27,947,32.799999
1.65094E+12,32,93,28.5
1.65094E+12,32,883,36.900002
1.65094E+12,33,1013,27.6
1.65094E+12,36,330,34.200001
1.65094E+12,32,1030,28
1.65094E+12,33,1019,27.6
1.65094E+12,31,1003,28.9
1.65094E+12,33,1019,27.6
1.65094E+12,30,892,36.299999
1.65094E+12,17,755,47.099998
1.65095E+12,33,1057,26.700001
1.65094E+12,28,986,30.200001
1.65094E+12,33,1018,27.6
1.65094E+12,29,867,37.400002
1.65094E+12,39,95,28.9
1.65094E+12,29,844,38.5
1.65094E+12,27,957,32.299999
1.65094E+12,25,939,33.299999
1.65094E+12,33,1049,27.1
1.65094E+12,28,858,38
1.65094E+12,39,95,28.9
1.65094E+12,29,990,30.200001
1.65094E+12,14,78,40.599998
1.65094E+12,32,95,28.5
1.65094E+12,32,95,28.5
1.65094E+12,11,72,47.599998
1.65094E+12,16,79,39.5
1.65094E+12,32,1035,28
1.65094E+12,33,0,28
1.65094E+12,37,938,33.299999
1.65094E+12,20,85,35.599998
1.65094E+12,33,1044,27.1
1.65094E+12,36,901,35.599998
1.65094E+12,36,905,35.599998
1.65094E+12,37,962,31.799999
1.65094E+12,30,892,36.299999
1.65094E+12,34,890,36.599998
1.65094E+12,32,95,28.5
1.65094E+12,18,80,38
1.65094E+12,12,74,43.5
1.65095E+12,33,1049,27.1
1.65094E+12,15,78,40.5
1.65094E+12,33,1050,27.1
1.65094E+12,32,95,28.5
1.65094E+12,33,1015,27.6
1.65094E+12,27,962,31.799999
1.65094E+12,32,94,28.5
1.65094E+12,23,85,34.700001
1.65094E+12,19,81,37.400002
